code,name,amount,pct,,,,
603758.SH,秦安股份,0.6439,6.0071,,,
002514.SZ,宝馨科技,19.7102,5.9972,,,
300174.SZ,元力股份,1.1263,5.9937,,,
002031.SZ,巨轮智能,7.2861,5.9859,,,
688297.SH,中无人机,4.1166,5.9688,,,
688085.SH,三友医疗,2.7186,5.9649,,,
002795.SZ,永和智控,7.4558,5.9623,,,
688058.SH,宝兰德,0.5433,5.9551,,,
300159.SZ,ST新研,1.0388,5.9406,,,
000526.SZ,学大教育,0.8156,5.9229,,,
688055.SH,龙腾光电,0.4037,5.8824,,,
603950.SH,长源东谷,1.5014,5.8608,,,
603118.SH,共进股份,1.7277,5.8296,,,
300768.SZ,迪普科技,0.6748,5.8260,,,
300195.SZ,长荣股份,0.4746,5.8182,,,
300025.SZ,华星创业,0.4467,5.8091,,,
301302.SZ,华如科技,0.6774,5.7831,,,
300559.SZ,佳发教育,1.8003,5.7823,,,
688698.SH,伟创电气,0.2370,5.7813,,,
002045.SZ,国光电器,9.3483,5.7793,,,
002214.SZ,大立科技,0.8360,5.7648,,,
300003.SZ,乐普医疗,21.4524,5.7636,,,
688229.SH,博睿数据,0.1747,5.7619,,,
300562.SZ,乐心医疗,1.1266,5.7609,,,
300445.SZ,康斯特,0.3852,5.7502,,,
300306.SZ,远方信息,1.0535,5.7471,,,
002554.SZ,惠博普,3.7723,5.7143,,,
002857.SZ,三晖电气,0.1713,5.6967,,,
300780.SZ,德恩精工,0.5122,5.6865,,,
600483.SH,福能股份,2.4893,5.6452,,,
002010.SZ,传化智联,1.0341,5.6391,,,
002658.SZ,雪迪龙,2.7373,5.6166,,,
300583.SZ,赛托生物,0.3235,5.6162,,,
300684.SZ,中石科技,2.1170,5.6151,,,
001332.SZ,锡装股份,2.6645,5.5820,,,
002747.SZ,埃斯顿,4.4813,5.5789,,,
600106.SH,重庆路桥,0.7858,5.5556,,,
300800.SZ,力合科技,0.3163,5.5511,,,
002979.SZ,雷赛智能,0.6511,5.5405,,,
301185.SZ,鸥玛软件,0.7943,5.5283,,,
301319.SZ,唯特偶,3.2878,5.5140,,,
000159.SZ,国际实业,1.5944,5.5090,,,
600186.SH,莲花健康,2.3957,5.4902,,,
688296.SH,和达科技,0.2096,5.4821,,,
688112.SH,鼎阳科技,2.0666,5.4766,,,
000544.SZ,中原环保,2.1157,5.4711,,,
688428.SH,诺诚健华-U,3.9763,5.4696,,,
002935.SZ,天奥电子,1.4437,5.4691,,,
603611.SH,诺力股份,0.6859,5.4614,,,
688029.SH,南微医学,7.8383,5.4591,,,
603737.SH,三棵树,4.1540,5.4545,,,
300688.SZ,创业黑马,1.3171,5.4483,,,
605378.SH,野马电池,0.4191,5.4444,,,
688128.SH,中国电研,0.3420,5.4422,,,
300220.SZ,金运激光,0.2980,5.4397,,,
603566.SH,普莱柯,1.2646,5.4170,,,
000661.SZ,长春高新,36.4727,5.4001,,,
300722.SZ,新余国科,1.1535,5.3890,,,
001270.SZ,铖昌科技,3.0891,5.3861,,,
002426.SZ,胜利精密,2.4258,5.3846,,,
300551.SZ,古鳌科技,2.0905,5.3753,,,
835207.BJ,众诚科技,0.2760,5.3503,,,
838402.BJ,硅烷科技,1.7401,5.3501,,,
688011.SH,新光光电,0.2393,5.3432,,,
603766.SH,隆鑫通用,2.1076,5.3360,,,
688090.SH,瑞松科技,0.3512,5.3307,,,
000521.SZ,长虹美菱,6.1206,5.3305,,,
600246.SH,万通发展,1.4976,5.3228,,,
603955.SH,大千生态,0.7895,5.3211,,,
300889.SZ,爱克股份,0.3092,5.3208,,,
002683.SZ,广东宏大,2.2910,5.3207,,,
002877.SZ,智能自控,0.6000,5.3176,,,
002489.SZ,浙江永强,4.5927,5.3165,,,
605068.SH,明新旭腾,0.5804,5.3075,,,
002439.SZ,启明星辰,5.6561,5.3037,,,
002279.SZ,久其软件,7.2505,5.3004,,,
300629.SZ,新劲刚,2.2503,5.2949,,,
600418.SH,江淮汽车,21.6355,5.2632,,,
300549.SZ,优德精密,0.2229,5.2632,,,
300534.SZ,陇神戎发,1.9564,5.2632,,,
688286.SH,敏芯股份,0.3219,5.2618,,,
002871.SZ,伟隆股份,2.9112,5.2374,,,
300910.SZ,瑞丰新材,3.1733,5.2344,,,
000606.SZ,*ST顺利,0.1349,5.2326,,,
002878.SZ,元隆雅图,0.7748,5.2283,,,
301236.SZ,软通动力,1.6993,5.2094,,,
688699.SH,明微电子,0.9584,5.2045,,,
688001.SH,华兴源创,0.7056,5.1929,,,
688095.SH,福昕软件,0.6827,5.1920,,,
002543.SZ,万和电气,5.3925,5.1906,,,
002777.SZ,久远银海,5.0707,5.1701,,,
688319.SH,欧林生物,0.4109,5.1688,,,
688228.SH,开普云,0.1840,5.1685,,,
000700.SZ,模塑科技,1.8741,5.1546,,,
002699.SZ,ST美盛,0.0907,5.1447,,,
002848.SZ,高斯贝尔,1.2990,5.1444,,,
600114.SH,东睦股份,1.2819,5.1370,,,
688656.SH,浩欧博,1.1037,5.1227,,,
000509.SZ,华塑控股,0.6468,5.1213,,,
600588.SH,用友网络,6.4933,5.1059,,,
300636.SZ,同和药业,1.8352,5.1013,,,
000561.SZ,烽火电子,1.7407,5.0980,,,
000410.SZ,*ST沈机,0.2998,5.0877,,,
002742.SZ,ST三圣,0.5901,5.0847,,,
300645.SZ,正元智慧,0.4647,5.0789,,,
300248.SZ,新开普,2.6010,5.0767,,,
300598.SZ,诚迈科技,3.0353,5.0633,,,
688013.SH,天臣医疗,0.5938,5.0538,,,
603603.SH,*ST博天,1.0269,5.0403,,,
688365.SH,光云科技,0.2067,5.0307,,,
301095.SZ,广立微,3.7563,5.0160,,,
688371.SH,菲沃泰,0.9544,5.0110,,,
600599.SH,ST熊猫,0.3243,5.0056,,,
688322.SH,奥比中光-UW,0.4620,5.0037,,,
600306.SH,ST商城,0.0120,5.0000,,,
002499.SZ,*ST科林,0.1130,5.0000,,,
600078.SH,ST澄星,2.1820,4.9922,,,
300115.SZ,长盈精密,4.0044,4.9819,,,
603063.SH,禾望电气,3.1004,4.9810,,,
002270.SZ,华明装备,1.6492,4.9808,,,
688328.SH,深科达,0.3610,4.9796,,,
003041.SZ,真爱美家,1.7883,4.9795,,,
600112.SH,ST天成,0.6811,4.9793,,,
002184.SZ,海得控制,0.7549,4.9666,,,
300417.SZ,南华仪器,0.3674,4.9595,,,
600734.SH,ST实达,0.4425,4.9569,,,
002771.SZ,真视通,0.4949,4.9526,,,
600661.SH,昂立教育,1.0145,4.9517,,,
688590.SH,新致软件,0.2928,4.9474,,,
000659.SZ,珠海中富,1.7267,4.9275,,,
688012.SH,中微公司,11.1840,4.9150,,,
688028.SH,沃尔德,0.3097,4.9057,,,
002980.SZ,华盛昌,1.8239,4.8990,,,
300123.SZ,亚光科技,0.8524,4.8913,,,
603882.SH,金域医学,9.0607,4.8878,,,
300074.SZ,华平股份,0.6237,4.8851,,,
688109.SH,品茗科技,0.1217,4.8831,,,
600363.SH,联创光电,3.1163,4.8734,,,
002638.SZ,勤上股份,1.2207,4.8673,,,
002526.SZ,山东矿机,1.1143,4.8673,,,
300659.SZ,中孚信息,0.9994,4.8485,,,
300466.SZ,赛摩智能,0.3033,4.8485,,,
001296.SZ,长江材料,2.2093,4.8435,,,
688658.SH,悦康药业,1.1708,4.8397,,,
300461.SZ,田中精机,0.1727,4.8375,,,
688045.SH,必易微,0.4795,4.8294,,,
688107.SH,安路科技-U,0.9083,4.8248,,,
002737.SZ,葵花药业,2.8441,4.8205,,,
300044.SZ,赛为智能,1.2844,4.8159,,,
600462.SH,ST九有,0.1215,4.8128,,,
300552.SZ,万集科技,0.7033,4.8091,,,
000951.SZ,中国重汽,1.5251,4.7970,,,
688455.SH,科捷智能,0.4381,4.7619,,,
300271.SZ,华宇软件,1.3238,4.7619,,,
603324.SH,盛剑环境,0.9511,4.7595,,,
002268.SZ,卫士通,9.4863,4.7557,,,
688619.SH,罗普特,0.1273,4.7537,,,
603757.SH,大元泵业,2.6078,4.7512,,,
300588.SZ,熙菱信息,1.2229,4.7478,,,
000727.SZ,冠捷科技,1.0808,4.7368,,,
003031.SZ,中瓷电子,1.2599,4.7287,,,
300247.SZ,融捷健康,1.4808,4.7222,,,
300235.SZ,方直科技,0.5289,4.7170,,,
001316.SZ,润贝航科,2.2322,4.7083,,,
600703.SH,三安光电,14.9681,4.7039,,,
002977.SZ,天箭科技,0.4797,4.7024,,,
