code,name,amount,pct,,,,
600085.SH,同仁堂,7.5567,5.1051,,,,
300595.SZ,欧普康视,9.0735,5.1034,,,,
688131.SH,皓元医药,2.5839,5.1027,,,,
002422.SZ,科伦药业,11.5841,5.0916,,,,
688063.SH,派能科技,10.4593,5.0799,,,,
300248.SZ,新开普,3.3473,5.0562,,,,
002919.SZ,名臣健康,0.5851,5.0509,,,,
600353.SH,旭光电子,1.3463,5.0366,,,,
000980.SZ,ST众泰,0.9629,5.0228,,,,
001313.SZ,粤海饲料,1.6418,5.0053,,,,
834062.BJ,科润智控,0.1658,5.0000,,,,
300534.SZ,陇神戎发,3.4304,5.0000,,,,
002592.SZ,ST八菱,0.8537,5.0000,,,,
002805.SZ,丰元股份,5.3013,4.9932,,,,
002781.SZ,*ST奇信,0.2321,4.9924,,,,
603329.SH,上海雅仕,1.6713,4.9916,,,,
002594.SZ,比亚迪,67.1721,4.9912,,,,
300171.SZ,东富龙,8.3397,4.9834,,,,
600306.SH,ST商城,0.0064,4.9784,,,,
600078.SH,ST澄星,3.1594,4.9777,,,,
002022.SZ,*ST科华,1.6348,4.9612,,,,
688617.SH,惠泰医疗,10.7278,4.9511,,,,
300350.SZ,华鹏飞,1.9580,4.9505,,,,
688161.SH,威高骨科,2.0739,4.9485,,,,
301067.SZ,显盈科技,0.4242,4.9429,,,,
300495.SZ,*ST美尚,1.4860,4.9315,,,,
300161.SZ,华中数控,5.4402,4.9273,,,,
002149.SZ,西部材料,2.5976,4.8947,,,,
002699.SZ,ST美盛,0.0913,4.8930,,,,
836433.BJ,大唐药业,0.0923,4.8913,,,,
603998.SH,方盛制药,2.2516,4.8889,,,,
603823.SH,百合花,0.7998,4.8670,,,,
688139.SH,海尔生物,2.1654,4.8637,,,,
000008.SZ,神州高铁,1.5586,4.8035,,,,
002793.SZ,罗欣药业,1.7388,4.7927,,,,
002535.SZ,ST林重,0.3894,4.7847,,,,
002009.SZ,天奇股份,2.6172,4.7673,,,,
688276.SH,百克生物,1.5597,4.7636,,,,
688236.SH,春立医疗,1.3641,4.7319,,,,
002417.SZ,*ST深南,0.6621,4.7306,,,,
600387.SH,ST海越,1.3252,4.6914,,,,
003027.SZ,同兴环保,4.3020,4.6908,,,,
000818.SZ,航锦科技,2.7705,4.6823,,,,
300837.SZ,浙矿股份,0.9428,4.6814,,,,
002837.SZ,英维克,6.4626,4.6763,,,,
002389.SZ,航天彩虹,15.6915,4.6449,,,,
603836.SH,海程邦达,0.9719,4.6243,,,,
002832.SZ,比音勒芬,2.5301,4.6147,,,,
600348.SH,华阳股份,15.1048,4.6129,,,,
002452.SZ,长高电新,1.4648,4.6113,,,,
002245.SZ,蔚蓝锂芯,5.5651,4.5953,,,,
688659.SH,元琛科技,1.7973,4.5921,,,,
688551.SH,科威尔,0.3442,4.5713,,,,
603787.SH,新日股份,1.9724,4.5636,,,,
300811.SZ,铂科新材,0.8776,4.5625,,,,
002707.SZ,众信旅游,4.7968,4.5597,,,,
600976.SH,健民集团,4.5406,4.5436,,,,
688238.SH,和元生物,0.9224,4.5414,,,,
836871.BJ,派特尔,0.1103,4.5226,,,,
601958.SH,金钼股份,6.8758,4.5161,,,,
300396.SZ,迪瑞医疗,9.6020,4.5094,,,,
