,ts_code,trade_date,pct_chg,amount
175,000603.SZ,20221111,4.5217,378134.058
1390,002928.SZ,20221111,4.5161,274762.873
2996,600346.SH,20221111,4.5141,561988.633
472,001266.SZ,20221111,4.5105,107026.649
3260,600684.SH,20221111,4.5093,323493.974
3317,600748.SH,20221111,4.5016,55860.684
3635,601628.SH,20221111,4.4955,544725.981
588,002088.SZ,20221111,4.4955,71058.497
4672,688338.SH,20221111,4.4751,103950.695
180,000609.SZ,20221111,4.4728,148386.41
1282,002811.SZ,20221111,4.47,36303.216
2218,300750.SZ,20221111,4.4589,7814365.729
2464,301010.SZ,20221111,4.458,72743.055
3114,600510.SH,20221111,4.4534,323259.578
9,000011.SZ,20221111,4.4444,139825.239
4446,688072.SH,20221111,4.4414,420301.761
1088,002601.SZ,20221111,4.4311,586254.45
73,000402.SZ,20221111,4.4266,211124.945
2792,600099.SH,20221111,4.4018,131780.653
4236,603939.SH,20221111,4.3933,369837.253
4130,603730.SH,20221111,4.3804,88926.177
3660,601788.SH,20221111,4.3568,2058606.513
711,002213.SZ,20221111,4.3509,147215.373
4526,688169.SH,20221111,4.3507,280057.392
215,000667.SZ,20221111,4.3478,190723.966
2624,301201.SZ,20221111,4.3471,396839.012
950,002458.SZ,20221111,4.3415,1161351.459
1655,300167.SZ,20221111,4.3243,114324.593
3885,603225.SH,20221111,4.3203,172129.537
3306,600736.SH,20221111,4.3197,196658.427
4644,688308.SH,20221111,4.3064,189779.45
3823,603128.SH,20221111,4.3038,303577.041
1019,002532.SZ,20221111,4.298,605547.259
341,000860.SZ,20221111,4.2884,1044256.373
381,000918.SZ,20221111,4.2857,178773.716
4057,603611.SH,20221111,4.2461,164795.25
22,000029.SZ,20221111,4.2424,114522.384
3912,603280.SH,20221111,4.2414,292558.76
3459,600919.SH,20221111,4.2336,1023286.222
443,001202.SZ,20221111,4.23,72558.219
4837,688697.SH,20221111,4.2169,179800.499
513,002010.SZ,20221111,4.2159,420239.494
2101,300627.SZ,20221111,4.214,221299.22
1044,002557.SZ,20221111,4.211,210385.425
