,index,ts_code,trade_date,pct_chg,amount
169,4595,688282.SH,20221017,7.3773,41495.333
170,2650,301257.SZ,20221017,7.324,77460.172
171,2897,600243.SH,20221017,7.3048,95265.332
172,4576,688260.SH,20221017,7.2923,18550.745
173,4080,603690.SH,20221017,7.2682,382218.803
174,518,002020.SZ,20221017,7.2631,1006313.347
175,4584,688270.SH,20221017,7.2476,130404.383
176,2675,301313.SZ,20221017,7.2408,341673.735
177,2049,300581.SZ,20221017,7.1982,227051.058
178,1473,003025.SZ,20221017,7.1744,71995.678
179,1483,003036.SZ,20221017,7.1605,88807.647
180,2640,301231.SZ,20221017,7.1396,147358.13
181,3468,600976.SH,20221017,7.1092,491987.065
182,4463,688118.SH,20221017,7.0809,79545.336
183,1760,300282.SZ,20221017,7.0476,92435.477
184,4147,603823.SH,20221017,7.0139,88850.661
185,4735,688561.SH,20221017,6.985,182732.128
186,2926,600283.SH,20221017,6.9692,165109.365
187,1835,300359.SZ,20221017,6.962,173238.951
188,4482,688139.SH,20221017,6.9601,186715.742
189,1246,002778.SZ,20221017,6.9466,40538.605
190,4202,603920.SH,20221017,6.9396,155516.923
191,4477,688133.SH,20221017,6.8947,268572.98
192,2405,300955.SZ,20221017,6.89,50684.366
193,2239,300779.SZ,20221017,6.8676,23833.836
194,3661,601872.SH,20221017,6.8602,962640.969
195,98,000503.SZ,20221017,6.8548,489555.292
196,3309,600760.SH,20221017,6.8493,1340051.333
197,3244,600688.SH,20221017,6.8111,420356.008
198,2022,300553.SZ,20221017,6.8089,84500.551
199,4285,605123.SH,20221017,6.7569,321679.973
200,2276,300819.SZ,20221017,6.7476,77465.293
201,593,002097.SZ,20221017,6.6879,149856.187
202,3922,603331.SH,20221017,6.684,30964.712
203,3869,603232.SH,20221017,6.6838,155960.84
204,4632,688325.SH,20221017,6.6799,40921.62
205,1829,300353.SZ,20221017,6.6746,122970.021
206,2375,300921.SZ,20221017,6.6594,104960.258
207,4788,688668.SH,20221017,6.646,126442.002
208,2618,301200.SZ,20221017,6.6417,110687.286
209,1960,300489.SZ,20221017,6.5876,25170.722
210,2587,301161.SZ,20221017,6.5769,115784.672
211,4689,688401.SH,20221017,6.5677,70424.165
212,2070,300602.SZ,20221017,6.5663,144097.429
213,2356,300900.SZ,20221017,6.5593,176683.146
214,3834,603187.SH,20221017,6.5501,102584.435
215,4035,603612.SH,20221017,6.531,511158.39
216,2813,600143.SH,20221017,6.5107,444046.853
217,3807,603138.SH,20221017,6.4899,759699.252
218,829,002339.SZ,20221017,6.4516,384631.832
219,3731,603032.SH,20221017,6.4434,445718.489
220,3885,603269.SH,20221017,6.406,70136.775
221,2177,300711.SZ,20221017,6.4035,102837.198
222,4813,688722.SH,20221017,6.3753,85652.911
223,3780,603100.SH,20221017,6.3694,343939.541
224,1888,300416.SZ,20221017,6.3594,251559.055
225,58,000100.SZ,20221017,6.3415,1614956.355
226,1988,300517.SZ,20221017,6.3253,83119.43
227,1727,300249.SZ,20221017,6.3158,436282.083
228,2075,300607.SZ,20221017,6.3005,89010.801
229,1569,300083.SZ,20221017,6.2975,315229.48
230,4711,688510.SH,20221017,6.2538,31789.038
231,2589,301163.SZ,20221017,6.2521,71258.94
232,4713,688513.SH,20221017,6.214,86935.174
233,4565,688246.SH,20221017,6.2075,38646.391
234,3954,603388.SH,20221017,6.2069,131616.376
235,4767,688618.SH,20221017,6.1856,14106.096
236,1840,300366.SZ,20221017,6.1828,193996.815
237,1608,300124.SZ,20221017,6.1093,1936097.969
238,4653,688356.SH,20221017,6.0974,262346.732
239,2648,301248.SZ,20221017,6.0948,63434.594
240,1842,300369.SZ,20221017,6.0897,297679.211
241,4428,688080.SH,20221017,6.0836,27992.465
242,4677,688387.SH,20221017,6.0823,568592.758
243,4720,688526.SH,20221017,6.0699,63825.081
244,160,000584.SZ,20221017,6.0653,185330.261
245,1887,300415.SZ,20221017,6.0636,310927.221
246,2855,600195.SH,20221017,6.0452,347619.865
247,4172,603878.SH,20221017,6.0355,82485.486
248,4167,603868.SH,20221017,6.0267,124042.734
249,1605,300121.SZ,20221017,6.0105,199669.654
250,4114,603758.SH,20221017,6.0071,64389.515
251,997,002514.SZ,20221017,5.9972,1971020.893
252,1657,300174.SZ,20221017,5.9937,112630.367
253,529,002031.SZ,20221017,5.9859,728605.424
254,4607,688297.SH,20221017,5.9688,411657.101
255,4432,688085.SH,20221017,5.9649,271864.07
256,1261,002795.SZ,20221017,5.9623,745584.459
257,4409,688058.SH,20221017,5.9551,54325.769
258,1642,300159.SZ,20221017,5.9406,103878.037
259,116,000526.SZ,20221017,5.9229,81558.596
260,4406,688055.SH,20221017,5.8824,40365.231
261,4216,603950.SH,20221017,5.8608,150139.495
262,3795,603118.SH,20221017,5.8296,172765.933
263,2228,300768.SZ,20221017,5.826,67475.588
264,1676,300195.SZ,20221017,5.8182,47463.517
265,1515,300025.SZ,20221017,5.8091,44674.32
266,2670,301302.SZ,20221017,5.7831,67744.571
267,2028,300559.SZ,20221017,5.7823,180028.143
268,4806,688698.SH,20221017,5.7813,23700.62
269,543,002045.SZ,20221017,5.7793,934827.143
270,707,002214.SZ,20221017,5.7648,83599.647
271,1494,300003.SZ,20221017,5.7636,2145237.564
272,4554,688229.SH,20221017,5.7619,17470.802
273,2031,300562.SZ,20221017,5.7609,112659.725
274,1916,300445.SZ,20221017,5.7502,38521.597
275,1784,300306.SZ,20221017,5.7471,105353.212
276,1036,002554.SZ,20221017,5.7143,377226.27
277,1318,002857.SZ,20221017,5.6967,17134.649
278,2240,300780.SZ,20221017,5.6865,51222.172
279,3073,600483.SH,20221017,5.6452,248934.887
280,509,002010.SZ,20221017,5.6391,103407.494
281,1137,002658.SZ,20221017,5.6166,273727.396
282,2051,300583.SZ,20221017,5.6162,32346.128
283,2151,300684.SZ,20221017,5.6151,211702.991
284,491,001332.SZ,20221017,5.582,266450.264
285,1218,002747.SZ,20221017,5.5789,448130.609
286,2780,600106.SH,20221017,5.5556,78583.691
